Date,Fund,Benchmark
2002/5/15,149.0425532,128.4196265
2002/5/16,149.2978723,128.3592322
2002/5/17,149.4893617,128.5991773
2002/5/20,149.0638298,128.0621572
2002/5/21,148.0425532,127.5985897
2002/5/22,146.3617021,126.1654479
2002/5/23,144.8085106,125.2921781
2002/5/24,145.0851064,125.0097937
2002/5/28,144.212766,124.265474
2002/5/29,144.212766,124.5658135
2002/5/30,143.9361702,123.9439149
2002/5/31,143.0851064,121.075999
2002/6/3,143.106383,122.2577697
2002/6/4,142.7446809,122.5124053
2002/6/5,143.3617021,121.9198877
2002/6/6,144.2765957,122.8910943
2002/6/7,144.3829787,123.2714155
2002/6/10,144.4680851,123.2746801
2002/6/11,144.8297872,122.4846566
2002/6/12,145.0851064,122.5140376
2002/6/13,145.2765957,122.9743406
2002/6/14,145,122.1777879
2002/6/17,144.2978723,121.8921389
2002/6/18,144.6808511,121.9998694
2002/6/19,143.7446809,121.4253069
2002/6/20,144.1276596,121.8121572
2002/6/21,143.6382979,121.3355315
2002/6/24,139.3617021,118.5851397
2002/6/25,138.7234043,117.0687516
2002/6/26,135.1276596,115.0822669
2002/6/27,136.2765957,116.149778
2002/6/28,138.6170213,118.412118
2002/7/1,138.4042553,118.2831679
2002/7/2,140.6595745,121.3371638
2002/7/3,141.787234,120.6826195
2002/7/4,142.2553191,121.0417211
2002/7/5,143.3191489,121.542831
2002/7/8,143.2340426,120.0998955
2002/7/9,144.6808511,121.3730739
2002/7/10,145,121.3061504
2002/7/11,144.2765957,120.6010055
2002/7/12,145.0212766,120.7642335
2002/7/15,145.0212766,120.6467093
2002/7/16,144.5319149,119.8681118
2002/7/17,144.4255319,119.3474145
2002/7/18,144.4680851,119.7881301
2002/7/19,143.3829787,118.5818752
2002/7/22,141.9574468,116.9642857
2002/7/23,142.6595745,118.2293027
2002/7/24,141.7234043,116.7243406
2002/7/25,142.3191489,117.3364455
2002/7/26,141.7446809,117.1503656
2002/7/29,142,117.6841212
2002/7/30,142.4893617,117.8342909
2002/7/31,143.3404255,117.7836903
2002/8/1,143.7878492,118.1068817
2002/8/2,143.4817172,117.4474406
2002/8/5,143.0107449,117.7118699
2002/8/6,142.4691267,117.3903108
2002/8/7,142.6810643,117.7934839
2002/8/8,143.2226825,117.9322277
2002/8/9,143.2226825,118.0432228
2002/8/12,143.5523631,118.1819666
2002/8/13,144.9417314,119.0405458
2002/8/14,144.7297939,119.1548054
2002/8/15,146.2369053,119.8207757
2002/8/16,147.0140096,120.2337425
2002/8/19,147.1553013,120.2239488
2002/8/20,147.1317527,119.8060851
2002/8/21,146.7314262,119.2853878
2002/8/22,146.5665859,119.15807
2002/8/23,146.6607804,119.1548054
2002/8/26,146.2133567,118.9099634
2002/8/27,146.3310998,118.9491382
2002/8/28,145.459801,118.2945939
2002/8/29,143.9762382,116.7308697
2002/8/30,144.0704326,116.1138679
2002/9/2,143.8113979,116.446853
2002/9/3,143.2226825,116.3734004
2002/9/4,142.210092,115.5409376
2002/9/5,142.1629947,115.2308044
2002/9/6,139.5490984,113.2949203
2002/9/9,137.853598,111.5173675
2002/9/10,138.9839316,112.2714808
2002/9/11,140.0200707,112.5783494
2002/9/12,141.1739529,113.2981849
2002/9/13,140.1378138,112.348198
2002/9/16,138.7955426,111.695286
2002/9/17,140.3497513,112.7056673
2002/9/18,139.5961956,110.5396318
2002/9/19,139.0545774,110.2703056
2002/9/20,138.0890842,109.7936798
2002/9/23,135.8519656,108.1352834
2002/9/24,133.6383957,106.8180334
2002/9/25,130.435784,103.935427
2002/9/26,130.5299784,104.4381692
2002/9/27,131.966444,105.6672761
2002/9/30,130.9538535,104.1410943
2002/10/1,131.2128883,105.2804257
2002/10/2,131.9193468,105.5220031
2002/10/3,131.4954717,105.5138417
2002/10/4,131.0951452,105.1335205
2002/10/7,130.741916,104.8070645
2002/10/8,130.2002978,105.0763907
2002/10/9,130.0119089,104.7156568
2002/10/10,128.6696378,103.6726299
2002/10/11,128.9522212,104.1035518
2002/10/14,127.2802694,102.8352703
2002/10/15,126.3618734,101.8803865
2002/10/16,127.8925334,103.5616349
2002/10/17,128.1986655,104.291264
2002/10/18,130.8361104,106.465461
2002/10/21,130.3415895,106.4915774
2002/10/22,131.0715966,106.8049752
2002/10/23,130.2709437,106.5503395
2002/10/24,132.0370899,107.0449203
2002/10/25,132.8141942,107.025333
2002/10/28,134.5096945,108.1842518
2002/10/29,134.7922779,107.8839122
2002/10/30,133.9680764,107.3615827
2002/10/31,134.4390487,107.6602899
2002/11/1,133.8267847,107.3028206
2002/11/5,133.9445278,106.7413163
2002/11/6,134.8864724,107.5101201
2002/11/7,134.5803404,107.0334944
2002/11/8,134.6745348,107.188561
2002/11/11,134.0387222,106.6156307
2002/11/12,133.8032361,106.3756856
2002/11/13,133.497104,105.5987203
2002/11/14,133.0967776,105.4697702
2002/11/15,133.379361,105.7521546
2002/11/18,133.7325902,105.1041395
2002/11/19,132.0135412,104.046422
2002/11/20,131.8957982,104.0039828
2002/11/21,132.8612914,104.1737399
2002/11/22,133.2380693,104.3222774
2002/11/25,134.0622708,105.0062027
2002/11/26,134.4861459,104.576913
2002/11/27,133.6383957,103.2286498
2002/11/28,133.991625,102.9740141
2002/11/29,133.8974305,102.7063202
2002/12/2,133.3087151,101.8967093
2002/12/3,132.2254788,100.6235309
2002/12/4,133.1674234,100.9352964
2002/12/9,135.6871253,104.1019196
2002/12/10,134.6509862,103.3853487
2002/12/11,135.0748613,103.6775268
2002/12/12,134.8393752,103.5322539
2002/12/13,134.4861459,103.1927396
2002/12/16,134.0858194,102.7471272
2002/12/17,134.5096945,103.7526116
2002/12/18,134.7687293,103.7819927
2002/12/19,134.603889,103.9419561
2002/12/20,134.3919515,104.1443588
2002/12/23,134.1800139,104.3353356
2002/12/24,134.2742084,104.6552625
2002/12/26,134.2035625,105.7831679
2002/12/27,134.7922779,106.1618569
2002/12/30,134.4155001,105.84193
2002/12/31,135.0984099,105.4975189
2003/1/2,134.0387222,103.2302821
2003/1/3,134.0387222,103.404936
2003/1/6,133.9209791,102.489227
2003/1/7,133.9680764,102.2084748
2003/1/8,134.0858194,102.0387177
2003/1/9,134.0622708,102.2753983
2003/1/10,134.9806669,103.783625
2003/1/13,137.1235909,106.3397754
2003/1/14,138.5129593,107.9606294
2003/1/15,139.0074802,109.0705798
2003/1/16,139.1723205,109.3856098
2003/1/17,139.1016747,109.4492687
2003/1/20,138.8661885,108.768608
2003/1/21,140.7029805,110.3209062
2003/1/22,140.797175,109.7561374
2003/1/23,139.8081331,109.4900757
2003/1/24,139.0545774,109.1685166
2003/1/27,136.6761672,108.4845913
2003/1/28,138.8661885,109.6288195
2003/1/29,138.8661885,108.6184382
2003/1/30,138.2774731,108.5090755
2003/2/5,138.7013482,109.0656829
2003/2/6,139.2900636,108.5384565
2003/2/7,139.1958691,107.9345129
2003/2/10,137.4532715,107.4791068
2003/2/11,137.6652091,107.7223165
2003/2/13,137.547466,107.1657091
2003/2/14,137.3590771,107.2326325
2003/2/17,138.2068272,107.6211152
2003/2/18,138.2539245,107.3142465
2003/2/19,138.3481189,107.8871768
2003/2/20,138.0655356,106.9665709
2003/2/21,137.5710146,106.8310917
2003/2/24,136.9587506,106.3528336
2003/2/25,136.4642297,106.6091016
2003/2/26,136.0874518,106.2140898
2003/2/27,135.6871253,106.4964743
2003/2/28,135.9461601,105.5758684
